мітка_часу,навантаження_мвт,температура_с,вітер_м_с,свято,потужність_мвт
2024-01-07 17:00:00,4598.9,-2.5,3.7,0,5016.4
2024-01-07 18:00:00,4380.7,-1.4,3.6,0,4946.8
2024-01-07 19:00:00,4619.8,-7.4,4.4,0,4911.1
2024-01-07 20:00:00,4095.4,-2.0,4.7,0,5033.9
2024-01-07 21:00:00,3943.5,-3.7,5.1,0,5089.7
2024-01-07 22:00:00,3968.0,-2.4,4.5,0,5041.2
2024-01-07 23:00:00,3534.4,0.8,1.6,0,5055.2
2024-01-08 00:00:00,3938.9,-5.6,2.1,0,5106.6
2024-01-08 01:00:00,4047.1,-7.1,2.9,0,5043.9
2024-01-08 02:00:00,4299.9,-7.5,3.4,0,5021.3
2024-01-08 03:00:00,4128.6,-7.3,6.1,0,4986.5
2024-01-08 04:00:00,4076.1,-5.1,1.7,0,5128.6
2024-01-08 05:00:00,4085.2,-3.8,3.3,0,5053.8
2024-01-08 06:00:00,4070.8,-4.0,5.9,0,4980.3
2024-01-08 07:00:00,4240.5,-2.4,3.4,0,4968.9
2024-01-08 08:00:00,4480.5,-4.8,4.9,0,5090.1
2024-01-08 09:00:00,4245.3,-0.5,3.7,0,4975.6
2024-01-08 10:00:00,4592.6,-5.7,4.5,0,5120.1
2024-01-08 11:00:00,4233.2,3.3,3.5,0,4889.6
2024-01-08 12:00:00,4681.2,-3.0,5.3,0,5098.6
2024-01-08 13:00:00,4894.9,-7.4,0.9,0,5051.8
2024-01-08 14:00:00,4856.4,-8.1,3.3,0,5033.4
2024-01-08 15:00:00,4685.1,-3.4,4.6,0,5018.7
2024-01-08 16:00:00,4758.4,-5.5,5.1,0,5122.0
2024-01-08 17:00:00,4473.9,-2.7,7.0,0,5062.8
2024-01-08 18:00:00,4341.1,-3.4,3.2,0,4982.3
2024-01-08 19:00:00,4430.1,-5.1,7.0,0,4941.5
2024-01-08 20:00:00,4354.6,-7.4,2.7,0,5036.3
2024-01-08 21:00:00,4244.3,-9.4,6.7,0,5027.4
2024-01-08 22:00:00,4218.7,-6.2,5.6,0,4951.5
2024-01-08 23:00:00,3896.7,-2.3,2.2,0,5024.7
2024-01-09 00:00:00,3907.8,-4.2,4.6,0,5002.2
2024-01-09 01:00:00,3951.0,-8.6,3.9,0,5031.3
2024-01-09 02:00:00,3850.9,-4.3,5.3,0,5067.2
2024-01-09 03:00:00,4140.7,-3.7,3.6,0,5105.5
2024-01-09 04:00:00,4038.9,-7.5,3.4,0,5076.3
2024-01-09 05:00:00,4105.6,-4.4,6.7,0,4994.8
2024-01-09 06:00:00,4248.3,-4.6,3.8,0,5049.3
2024-01-09 07:00:00,4580.7,-8.2,5.7,0,5034.0
2024-01-09 08:00:00,4278.6,-3.7,3.5,0,4964.3
2024-01-09 09:00:00,4516.9,-3.1,7.3,0,5050.8
2024-01-09 10:00:00,4333.1,-1.6,2.6,0,5123.7
2024-01-09 11:00:00,4583.2,-1.7,2.8,0,5032.5
2024-01-09 12:00:00,4962.6,-9.0,7.0,0,4951.2
2024-01-09 13:00:00,4882.0,-7.6,3.1,0,5032.4
2024-01-09 14:00:00,4790.3,-3.3,7.2,0,4970.2
2024-01-09 15:00:00,4640.6,-3.3,5.8,0,5074.0
2024-01-09 16:00:00,4643.1,-3.3,3.7,0,5057.1
2024-01-09 17:00:00,4015.6,6.7,0.4,0,5022.3
2024-01-09 18:00:00,4521.5,-3.1,4.0,0,5014.3
2024-01-09 19:00:00,4075.5,-1.4,4.2,0,5020.3
2024-01-09 20:00:00,4207.0,-2.0,6.3,0,5031.3
2024-01-09 21:00:00,4059.3,-2.9,7.2,0,4992.3
2024-01-09 22:00:00,4070.3,-5.8,2.6,0,4961.5
2024-01-09 23:00:00,3771.2,-2.5,5.6,0,5087.8
2024-01-10 00:00:00,4129.6,-7.1,5.5,0,5015.0
2024-01-10 01:00:00,3886.6,-5.5,6.1,0,5042.6
2024-01-10 02:00:00,4080.5,-6.2,5.0,0,5048.5
2024-01-10 03:00:00,4185.6,-4.5,0.1,0,5050.4
2024-01-10 04:00:00,3838.4,2.2,3.7,0,4975.6
2024-01-10 05:00:00,4579.3,-10.4,1.7,0,4950.5
2024-01-10 06:00:00,4095.1,-2.7,3.6,0,5004.8
2024-01-10 07:00:00,4710.6,-9.6,6.0,0,5054.0
2024-01-10 08:00:00,4458.3,-6.2,4.6,0,4997.9
2024-01-10 09:00:00,4402.6,-1.5,6.3,0,5016.5
2024-01-10 10:00:00,4857.6,-4.6,4.7,0,5140.6
2024-01-10 11:00:00,4884.7,-8.0,1.4,0,4942.0
2024-01-10 12:00:00,5040.4,-6.9,1.0,0,4996.5
2024-01-10 13:00:00,4808.1,-2.7,4.3,0,5129.1
2024-01-10 14:00:00,5039.3,-7.0,3.6,0,5032.0
2024-01-10 15:00:00,4600.6,-4.1,2.0,0,4999.0
2024-01-10 16:00:00,4739.1,-4.6,0.6,0,5092.7
2024-01-10 17:00:00,4693.8,-6.7,2.5,0,5037.0
2024-01-10 18:00:00,4265.2,1.7,3.6,0,5016.8
2024-01-10 19:00:00,4120.3,-2.9,5.3,0,5043.9
2024-01-10 20:00:00,4613.5,-10.9,4.4,0,5001.4
2024-01-10 21:00:00,4160.1,-4.2,7.2,0,4983.4
2024-01-10 22:00:00,3970.5,-6.8,1.9,0,5028.6
2024-01-10 23:00:00,3795.1,-2.2,5.8,0,4983.7
2024-01-11 00:00:00,3899.9,-7.1,4.1,0,5038.2
2024-01-11 01:00:00,3899.9,-5.1,5.4,0,5055.4
2024-01-11 02:00:00,3955.4,-3.2,3.1,0,5080.3
2024-01-11 03:00:00,3911.8,-2.1,6.1,0,5094.0
2024-01-11 04:00:00,4275.8,-8.3,4.6,0,5017.4
2024-01-11 05:00:00,4121.8,-5.7,2.6,0,5062.6
2024-01-11 06:00:00,4466.4,-6.2,4.0,0,5062.3
2024-01-11 07:00:00,4495.9,-6.7,3.5,0,5054.0
2024-01-11 08:00:00,4231.3,0.6,5.0,0,5013.7
2024-01-11 09:00:00,4643.7,-3.5,1.6,0,4986.2
2024-01-11 10:00:00,4817.9,-8.5,3.9,0,5062.7
2024-01-11 11:00:00,4644.4,-2.0,4.8,0,4952.3
2024-01-11 12:00:00,4500.8,1.6,4.1,0,5024.3
2024-01-11 13:00:00,4604.4,-1.6,6.7,0,4910.0
2024-01-11 14:00:00,5145.3,-9.3,5.5,0,4970.8
2024-01-11 15:00:00,4906.4,-6.2,4.0,0,4993.8
2024-01-11 16:00:00,4485.7,-0.9,4.4,0,5092.5
2024-01-11 17:00:00,4718.3,-6.9,4.6,0,5072.1
2024-01-11 18:00:00,4491.3,-3.4,4.8,0,5009.9
2024-01-11 19:00:00,4354.4,-2.4,0.3,0,5074.1
2024-01-11 20:00:00,4429.1,-7.5,3.4,0,5082.0
2024-01-11 21:00:00,4297.1,-4.9,1.0,0,5029.6
2024-01-11 22:00:00,4619.9,-14.5,6.6,0,4968.4
2024-01-11 23:00:00,3982.2,-7.8,3.9,0,5027.2
2024-01-12 00:00:00,3877.1,-5.4,3.6,0,5036.1
2024-01-12 01:00:00,4260.6,-8.4,5.8,0,4979.4
2024-01-12 02:00:00,3727.0,0.2,4.8,0,5059.4
2024-01-12 03:00:00,4246.4,-9.0,1.7,0,5055.0
2024-01-12 04:00:00,4273.9,-6.0,3.9,0,5063.3
2024-01-12 05:00:00,4167.3,-4.3,3.3,0,5055.0
2024-01-12 06:00:00,4078.2,-0.4,0.5,0,5077.5
2024-01-12 07:00:00,4545.1,-9.0,2.6,0,5032.1
2024-01-12 08:00:00,4372.5,-1.2,3.6,0,5051.1
2024-01-12 09:00:00,4685.1,-4.7,3.8,0,5021.1
2024-01-12 10:00:00,4825.7,-7.6,1.0,0,5011.8
2024-01-12 11:00:00,4618.9,-3.3,6.3,0,5107.9
2024-01-12 12:00:00,5062.0,-4.1,3.8,0,4938.8
2024-01-12 13:00:00,4942.3,-6.5,4.1,0,5084.9
2024-01-12 14:00:00,4753.2,-4.5,4.8,0,5010.0
2024-01-12 15:00:00,4925.5,-5.8,2.4,0,5003.5
2024-01-12 16:00:00,4695.4,-4.3,4.9,0,5054.1
2024-01-12 17:00:00,4411.0,-2.7,3.3,0,4966.5
2024-01-12 18:00:00,4316.1,0.1,2.2,0,5000.2
2024-01-12 19:00:00,4515.7,-8.4,5.1,0,4998.6
2024-01-12 20:00:00,4126.8,1.7,7.0,0,5030.0
2024-01-12 21:00:00,4526.4,-10.5,5.4,0,5000.8
2024-01-12 22:00:00,4090.4,-5.1,5.8,0,5121.1
2024-01-12 23:00:00,3953.0,-2.9,3.0,0,5130.9
2024-01-13 00:00:00,4042.8,-3.8,0.8,0,4943.3
2024-01-13 01:00:00,4083.6,-6.5,7.0,0,5071.6
2024-01-13 02:00:00,4233.9,-5.3,8.1,0,5087.3
2024-01-13 03:00:00,4220.5,-6.1,7.1,0,5071.5
2024-01-13 04:00:00,4241.2,-6.4,3.3,0,5011.5
2024-01-13 05:00:00,3978.0,-2.1,1.7,0,5032.2
2024-01-13 06:00:00,4235.6,-3.6,1.9,0,5007.0
2024-01-13 07:00:00,4575.5,-6.7,0.6,0,5023.4
2024-01-13 08:00:00,4306.6,-1.9,3.8,0,4983.9
2024-01-13 09:00:00,4718.9,-3.7,7.2,0,5038.6
2024-01-13 10:00:00,4497.8,-2.2,3.7,0,4969.2
2024-01-13 11:00:00,4630.9,-2.7,4.6,0,5034.4
2024-01-13 12:00:00,4932.1,-7.1,6.8,0,4982.0
2024-01-13 13:00:00,5031.9,-6.3,3.2,0,5054.7
2024-01-13 14:00:00,4637.1,-2.4,8.1,0,5010.4
2024-01-13 15:00:00,4517.9,-2.8,8.0,0,5058.9
2024-01-13 16:00:00,4843.9,-4.7,3.7,0,5098.5
2024-01-13 17:00:00,4576.3,-4.3,2.8,0,5123.9
2024-01-13 18:00:00,4221.3,-0.8,5.4,0,4918.0
2024-01-13 19:00:00,4436.3,-6.4,3.3,0,5002.7
2024-01-13 20:00:00,4392.9,-3.0,1.7,0,5029.2
2024-01-13 21:00:00,4162.5,-5.2,6.6,0,5067.4
2024-01-13 22:00:00,4126.0,-5.3,6.4,0,4961.9
2024-01-13 23:00:00,3834.5,-1.3,4.3,0,4995.3
2024-01-14 00:00:00,3761.8,-2.1,1.5,0,5054.3
2024-01-14 01:00:00,3797.8,-2.1,1.5,0,5052.0
2024-01-14 02:00:00,3686.8,-0.7,4.2,0,5066.6
2024-01-14 03:00:00,4139.1,-4.5,3.0,0,5069.9
2024-01-14 04:00:00,4027.4,-2.5,3.3,0,5064.7
2024-01-14 05:00:00,4503.2,-5.5,6.0,0,5057.4
2024-01-14 06:00:00,4195.0,-3.6,5.5,0,5050.5
2024-01-14 07:00:00,4364.7,-5.0,6.8,0,5081.0
2024-01-14 08:00:00,4682.6,-4.3,2.0,0,4935.8
2024-01-14 09:00:00,4659.3,-2.8,3.3,0,5125.0
2024-01-14 10:00:00,4919.6,-7.0,5.5,0,4937.5
2024-01-14 11:00:00,4345.1,1.7,4.9,0,4993.8
2024-01-14 12:00:00,5206.0,-7.6,7.1,0,5036.4
2024-01-14 13:00:00,5075.9,-8.2,4.8,0,5081.4
2024-01-14 14:00:00,4615.4,-1.1,7.7,0,4898.0
2024-01-14 15:00:00,4792.9,-2.2,5.1,0,5046.3
2024-01-14 16:00:00,4636.2,-2.7,6.1,0,5087.4
2024-01-14 17:00:00,4431.4,-2.7,3.4,0,5097.5
2024-01-14 18:00:00,4550.8,-4.6,4.0,0,5012.9
2024-01-14 19:00:00,4493.0,-7.3,5.8,0,5032.7
2024-01-14 20:00:00,4003.0,-4.3,7.2,0,5016.9
2024-01-14 21:00:00,4221.6,-6.6,5.5,0,5028.1
2024-01-14 22:00:00,3921.7,-1.6,3.8,0,4996.1
2024-01-14 23:00:00,3952.0,-5.0,6.8,0,5003.3
2024-01-15 00:00:00,4187.1,-7.0,0.4,0,5072.8
2024-01-15 01:00:00,3964.7,-5.5,1.2,0,5057.7
2024-01-15 02:00:00,4001.0,-3.3,5.4,0,5075.6
2024-01-15 03:00:00,4014.2,-6.2,4.0,0,5061.8
2024-01-15 04:00:00,4338.3,-7.0,5.2,0,5086.3
2024-01-15 05:00:00,4054.7,-3.8,4.1,0,5095.0
2024-01-15 06:00:00,4054.2,-3.8,5.1,0,4964.0
2024-01-15 07:00:00,4644.6,-6.0,2.4,0,5008.4
2024-01-15 08:00:00,4546.5,-5.9,5.1,0,5039.5
2024-01-15 09:00:00,4800.2,-3.8,6.0,0,5049.9
2024-01-15 10:00:00,5055.8,-8.8,6.4,0,5017.6
2024-01-15 11:00:00,5145.7,-8.7,8.0,0,5096.7
2024-01-15 12:00:00,5098.6,-6.7,4.5,0,5150.1
2024-01-15 13:00:00,4933.3,-5.1,4.5,0,5060.4
2024-01-15 14:00:00,4828.5,-3.6,1.0,0,5055.3
2024-01-15 15:00:00,4700.9,-0.1,2.9,0,5093.5
2024-01-15 16:00:00,4621.3,-1.9,3.6,0,4957.8
2024-01-15 17:00:00,4616.6,-5.0,6.1,0,5052.5
2024-01-15 18:00:00,4617.5,-4.6,2.8,0,5100.0
2024-01-15 19:00:00,4387.6,-7.5,5.6,0,5018.9
2024-01-15 20:00:00,4460.8,-4.6,4.0,0,4989.7
2024-01-15 21:00:00,4396.1,-5.4,3.6,0,5041.8
2024-01-15 22:00:00,4199.4,-3.5,4.5,0,5048.0
2024-01-15 23:00:00,4291.4,-7.0,3.2,0,5005.6
2024-01-16 00:00:00,3938.8,-2.9,3.1,0,5159.2
2024-01-16 01:00:00,3777.4,0.2,0.6,0,5030.5
2024-01-16 02:00:00,3914.0,-4.8,3.5,0,4996.7
2024-01-16 03:00:00,4182.6,-3.2,3.0,0,5049.7
2024-01-16 04:00:00,3986.7,-2.4,3.0,0,5099.8
2024-01-16 05:00:00,4323.1,-5.6,4.8,0,5055.3
2024-01-16 06:00:00,4327.0,-3.8,5.3,0,5078.7
2024-01-16 07:00:00,4315.3,-4.4,4.5,0,5010.8
2024-01-16 08:00:00,4376.3,-4.1,6.0,0,5128.8
2024-01-16 09:00:00,4802.9,-6.8,5.2,0,5082.5
2024-01-16 10:00:00,4716.6,-4.4,3.4,0,5106.8
2024-01-16 11:00:00,4742.3,-2.9,3.1,0,5072.6
2024-01-16 12:00:00,4736.2,-0.1,4.6,0,5095.6
2024-01-16 13:00:00,4752.1,-1.6,5.1,0,5010.7
2024-01-16 14:00:00,4583.7,2.0,6.8,0,5029.8
2024-01-16 15:00:00,5013.3,-6.7,6.4,0,5121.7
2024-01-16 16:00:00,4586.8,-1.8,2.9,0,5132.4
2024-01-16 17:00:00,4543.3,-3.9,3.8,0,4997.0
2024-01-16 18:00:00,4237.7,2.1,5.3,0,5066.9
2024-01-16 19:00:00,4587.6,-6.9,6.1,0,5032.8
2024-01-16 20:00:00,4557.0,-7.0,5.9,0,5019.5
2024-01-16 21:00:00,4303.8,-6.2,3.9,0,5068.6
2024-01-16 22:00:00,4419.0,-10.8,1.5,0,5111.4
2024-01-16 23:00:00,4118.9,-6.0,2.0,0,5077.0
2024-01-17 00:00:00,4047.5,-6.6,4.5,0,5041.7
2024-01-17 01:00:00,4138.6,-3.9,4.7,0,5083.4
2024-01-17 02:00:00,4095.5,-3.3,1.8,0,5039.7
2024-01-17 03:00:00,3681.9,1.3,4.1,0,5078.3
2024-01-17 04:00:00,4086.3,-1.5,5.3,0,5127.5
2024-01-17 05:00:00,4140.9,-6.1,1.7,0,4953.8
2024-01-17 06:00:00,4583.4,-7.1,6.2,0,5097.6
2024-01-17 07:00:00,4313.8,-2.9,3.2,0,4980.7
2024-01-17 08:00:00,4827.8,-8.3,6.5,0,5119.1
2024-01-17 09:00:00,4186.5,1.1,2.9,0,5025.8
2024-01-17 10:00:00,4456.7,-0.8,1.9,0,4996.8
2024-01-17 11:00:00,4975.6,-5.8,3.1,0,5092.5
2024-01-17 12:00:00,5120.4,-9.5,3.8,0,5075.9
2024-01-17 13:00:00,4587.4,-0.3,3.2,0,5007.7
2024-01-17 14:00:00,5051.9,-4.7,3.6,0,4995.0
2024-01-17 15:00:00,4855.6,-0.6,4.7,0,5048.3
2024-01-17 16:00:00,5141.5,-9.1,3.7,0,4997.5
2024-01-17 17:00:00,4675.2,-6.2,3.9,0,5004.6
2024-01-17 18:00:00,4752.5,-4.3,0.6,0,5063.5
2024-01-17 19:00:00,4297.9,-4.2,4.8,0,5009.4
2024-01-17 20:00:00,4385.1,-5.7,3.8,0,5079.0
2024-01-17 21:00:00,4150.0,-2.5,7.2,0,5132.2
2024-01-17 22:00:00,4495.8,-7.6,2.1,0,5050.3
2024-01-17 23:00:00,4187.0,-4.8,0.4,0,5064.2
2024-01-18 00:00:00,3975.7,-3.9,5.2,0,5161.9
2024-01-18 01:00:00,3856.0,-2.7,4.7,0,5001.6
